,item_group,bigram,tscore
997,accounting program,"('mac-based', 'accounting program')",0.999978847899949
1012,accounting software,"('accounting software', 'for')",3.0590080916125375
1013,accounting software,"('business', 'accounting software')",2.630291255971394
1014,accounting software,"('in', 'accounting software')",2.168794876218437
1015,accounting software,"('accounting software', 'that')",2.1050867669989892
1016,accounting software,"('best', 'accounting software')",1.975827066697272
1078,acdsee,"('editor', 'acdsee')",0.9991308053701266
1079,acdsee,"('using', 'acdsee')",0.987370629447327
1080,acdsee,"('at', 'acdsee')",0.981239654076989
1081,acdsee,"('like', 'acdsee')",0.9806227178255015
1082,acdsee,"('acdsee', 'has')",0.9804088465916524
1089,ace,"('ace', 'money')",0.998580459063244
1090,ace,"('use', 'ace')",0.9898528675588675
1091,ace,"('ace', 'of')",0.9553314651589658
1092,acrobat,"('with', 'acrobat')",2.4555729722741235
1093,acrobat,"('acrobat', 'reader')",1.9991102408284103
1094,acrobat,"('acrobat', '9')",1.9962791889188065
1095,acrobat,"('acrobat', '8')",1.9832447948207124
1096,acrobat,"('of', 'acrobat')",1.8431992480843007
1148,acrobate,"('acrobate', '9')",1.414035188763127
1149,acrobate,"('used', 'acrobate')",1.4117573245265187
1150,acronis,"('from', 'acronis')",4.712069908155613
1151,acronis,"('acronis', 'has')",3.669924153271508
1152,acronis,"('an', 'acronis')",2.7085365958750267
1153,acronis,"('acronis', 'backup')",2.610597392601363
1154,acronis,"('at', 'acronis')",2.562168227796319
1320,acronis program,"('via', 'acronis program')",1.4137715060353484
1321,acronis program,"('acronis program', 'works')",1.4116022170395903
1322,acronis program,"('the', 'acronis program')",1.308398126879799
1323,acronis software,"('by', 'acronis software')",1.9918153123969324
1324,acronis software,"('acronis software', 'does')",1.3995448257521352
1325,acronis software,"('the', 'acronis software')",1.1496749736398553
1326,acronis software,"('acronis software', 'suddenly')",0.99967880144367
1327,acronis software,"('used', 'acronis software')",0.98263177562479
1332,acronis true image,"('acronis true image', '11')",2.6447042959184643
1333,acronis true image,"('acronis true image', 'simply')",1.996323451646691
1334,acronis true image,"('of', 'acronis true image')",1.5085427555741415
1335,acronis true image,"('acronis true image', 'v')",1.4141127425065914
1336,acronis true image,"('acronis true image', '9.0')",1.4140479297352677
1351,acronis true image home,"('acronis true image home', '2012')",0.999371704287374
1352,acronis true image home,"('installed', 'acronis true image home')",0.9965529911027999
1353,acronis true image home,"('using', 'acronis true image home')",0.992783216827044
1354,acronis true image home,"('acronis true image home', 'just')",0.9901666237096239
1355,acronis true image home,"('acronis true image home', 'is')",0.9447287791556238
1356,acronis trueimage,"('use', 'acronis trueimage')",1.4046467541614645
1357,acronis trueimage,"('try', 'acronis trueimage')",0.99783778532812
1358,acronis trueimage,"('like', 'acronis trueimage')",0.9889272673288579
1359,acronis trueimage,"('acronis trueimage', 'to')",0.8890282490213237
1360,acronis workstation,"('acronis workstation', '...')",0.998788063008189
1361,acronis workstation,"('use', 'acronis workstation')",0.9966176225196225
1362,act,"('act', 'together')",3.603064298323928
1363,act,"('act', 'as')",3.372635849176185
1364,act,"('act', 'like')",2.945559064366885
1365,act,"('except', 'act')",2.4459044905474405
1366,act,"('its', 'act')",2.4266196074688935
1402,action,"('in', 'action')",3.2421160137517626
1403,action,"('action', 'center')",2.6424416357829656
1404,action,"('into', 'action')",2.6082878003672607
1405,action,"('action', 'on')",2.4268597070775715
1406,action,"('the', 'action')",2.357827907787708
1468,activation,"('activation', 'code')",7.740943676634861
1469,activation,"('the', 'activation')",5.933551880312544
1470,activation,"('your', 'activation')",4.629148256457278
1471,activation,"('an', 'activation')",3.2709729207148754
1472,activation,"('activation', 'key')",3.145952454298832
1574,active care,"('use', 'active care')",1.4094301582672797
1575,activex,"('activex', 'controls')",2.2357053630756694
1576,activex,"('activex', 'control')",1.4126680270569139
1577,activex,"('an', 'activex')",1.3922104574416554
1578,activex,"('the', 'activex')",1.1496749736398553
1579,activex,"('activex', 'api')",0.999988248833305
1585,adaware,"('and', 'adaware')",1.1772364661564423
1586,adaware,"('adaware', 'and')",1.1772364661564423
1587,adaware,"('lavasoft', 'adaware')",0.999967096733254
1588,adaware,"('adaware', 'missed')",0.999270644253797
1589,adaware,"('uninstall', 'adaware')",0.998064191139777
1603,add effect,"('like', 'add effect')",0.9972318168322145
1604,adjust,"('to', 'adjust')",7.788870085208714
1605,adjust,"('``', 'adjust')",6.917973163245081
1606,adjust,"('adjust', ""''"")",6.865553223104405
1607,adjust,"('adjust', 'the')",5.431933486670103
1608,adjust,"('adjust', 'to')",2.689903016666966
1693,adobe,"('adobe', ""'s"")",9.70003255495852
1694,adobe,"('adobe', 'reader')",4.579251915584063
1695,adobe,"('with', 'adobe')",4.477603799339471
1696,adobe,"('than', 'adobe')",4.4683300448448575
1697,adobe,"('adobe', 'has')",4.2741548688344215
1951,adobe acrobat,"('as', 'adobe acrobat')",1.8952794779975073
1952,adobe acrobat,"('adobe acrobat', 'pro')",1.723107427923397
1953,adobe acrobat,"('adobe acrobat', '6.0.')",1.4141487496017713
1954,adobe acrobat,"('hungry', 'adobe acrobat')",1.4141271453446633
1955,adobe acrobat,"('adobe acrobat', '8.0')",1.4139975198020158
1991,adobe bridge,"('or', 'adobe bridge')",1.97996034372946
1992,adobe bridge,"('using', 'adobe bridge')",1.4014559715732195
1993,adobe bridge,"('as', 'adobe bridge')",0.9462971682038498
1994,adobe bridge,"('in', 'adobe bridge')",0.9095316846707597
1995,adobe bridge,"('of', 'adobe bridge')",0.8511048838632196
1998,adobe creative cloud,"('the', 'adobe creative cloud')",1.5376554396671547
1999,adobe creative cloud,"('adobe creative cloud', 'plan')",1.4134083883293425
2000,adobe creative cloud,"('adobe creative cloud', 'is')",1.3262775884801803
2001,adobe creative cloud,"('adobe creative cloud', 'subscriber')",0.9999823732499575
2002,adobe creative cloud,"('adobe creative cloud', 'route')",0.9994676721487165
2010,adobe creative suite,"('an', 'adobe creative suite')",1.3966110784279433
2011,adobe creative suite,"('the', 'adobe creative suite')",1.2025826913865032
2012,adobe creative suite,"('adobe creative suite', 'cs2')",0.99998433177774
2013,adobe creative suite,"('adobe creative suite', 'applications')",0.997690504038876
2014,adobe creative suite,"('adobe creative suite', '4')",0.99707004243738
2022,adobe design premium,"('use', 'adobe design premium')",0.9966176225196225
2023,adobe design premium,"('adobe design premium', 'for')",0.9887576588228935
2024,adobe elements,"('than', 'adobe elements')",1.9793727853947098
2025,adobe elements,"('and', 'adobe elements')",1.4556351092559092
2026,adobe elements,"('adobe elements', 'provides')",1.4116764470511918
2027,adobe elements,"('as', 'adobe elements')",1.3382662893091382
2028,adobe elements,"('adobe elements', 'not')",1.3308488277020896
2039,adobe flash,"('used', 'adobe flash')",1.4093010866799427
2040,adobe flash,"('adobe flash', 'and')",1.3465058205969085
2041,adobe flash,"('adobe flash', 'professional')",0.998766910908138
2042,adobe flash,"('of', 'adobe flash')",0.9404419535452878
2043,adobe flash player,"('adobe flash player', '11.8')",1.414210238641232
2044,adobe flash player,"('adobe flash player', '16')",1.4139576350196628
2045,adobe flash player,"('adobe flash player', 'installer')",0.999774377599456
2046,adobe flash player,"('require', 'adobe flash player')",0.999306681164995
2047,adobe flash player,"('adobe flash player', '10')",0.997090411126318
2050,adobe illustrator,"('adobe illustrator', 'loads')",1.9995366123266605
2051,adobe illustrator,"('fast', 'adobe illustrator')",1.9956563770839715
2052,adobe illustrator,"('what', 'adobe illustrator')",1.377659159346513
2053,adobe illustrator,"('than', 'adobe illustrator')",1.376290889729679
2054,adobe illustrator,"('adobe illustrator', 'does')",1.3760748471585997
2072,adobe lightroom,"('to', 'adobe lightroom')",2.1550135632088083
2073,adobe lightroom,"('with', 'adobe lightroom')",1.6040328840702613
2074,adobe lightroom,"('adobe lightroom', 'knockoff')",0.999989815655531
2075,adobe lightroom,"('copied', 'adobe lightroom')",0.999358386298453
2076,adobe lightroom,"('adobe lightroom', '6')",0.9956003631893919
2101,adobe package,"('adobe package', 'other')",0.995985801456988
2102,adobe package,"('my', 'adobe package')",0.986543347311999
2103,adobe package,"('this', 'adobe package')",0.9831331587371099
2104,adobe photoelements program,"('wonderful', 'adobe photoelements program')",0.9999244008275955
2105,adobe photoelements program,"('adobe photoelements program', 'that')",0.9888998479399029
2106,adobe photoshop,"('of', 'adobe photoshop')",4.017310120158053
2107,adobe photoshop,"('adobe photoshop', 'and')",2.5948578378802174
2108,adobe photoshop,"('to', 'adobe photoshop')",2.4801437441621634
2109,adobe photoshop,"('with', 'adobe photoshop')",2.101326889632055
2110,adobe photoshop,"('used', 'adobe photoshop')",1.9131588781239497
2171,adobe photoshop elements,"('adobe photoshop elements', '10')",2.4407789551032004
2172,adobe photoshop elements,"('adobe photoshop elements', '11')",2.233971470529803
2173,adobe photoshop elements,"('out', 'adobe photoshop elements')",1.9574983802975239
2174,adobe photoshop elements,"('than', 'adobe photoshop elements')",1.954620127868362
2175,adobe photoshop elements,"('or', 'adobe photoshop elements')",1.9118255124096237
2203,adobe photoshop lightroom,"('against', 'adobe photoshop lightroom')",1.99956128977672
2204,adobe photoshop lightroom,"('adobe photoshop lightroom', 'or')",1.3915412794266209
2205,adobe photoshop lightroom,"('as', 'adobe photoshop lightroom')",1.3838346531475123
2206,adobe photoshop lightroom,"('adobe photoshop lightroom', '3')",0.9957852482120599
2207,adobe photoshop lightroom,"('``', 'adobe photoshop lightroom')",0.978434258881336
2210,adobe premier,"('//www.amazon.com/review/r2lxhyrsl0j4lg/ref=cm_cr_rdp_perm', 'adobe premier')",0.999996866355548
2211,adobe premier,"('adobe premier', 'element')",0.999918525244248
2212,adobe premier,"('cluttered', 'adobe premier')",0.999815114977332
2213,adobe premier,"('used', 'adobe premier')",0.986105420499832
2214,adobe premier,"('using', 'adobe premier')",0.9855664336540879
2221,adobe premier elements,"('over', 'adobe premier elements')",1.403220319237032
2222,adobe premier elements,"('out', 'adobe premier elements')",1.393722755439209
2223,adobe premier elements,"('with', 'adobe premier elements')",1.323758199728212
2224,adobe premier elements,"('adobe premier elements', 'for')",1.2949705271319234
2225,adobe premier elements,"('and', 'adobe premier elements')",1.1603095307123958
2236,adobe premier pro,"('adobe premier pro', 'and')",1.8683393407908848
2237,adobe premier pro,"('used', 'adobe premier pro')",1.4007042542169266
2238,adobe premier pro,"('adobe premier pro', 'cs5')",0.999887972210841
2239,adobe premier pro,"('run', 'adobe premier pro')",0.992218377414571
2240,adobe premier pro,"('while', 'adobe premier pro')",0.9904388590713915
2248,adobe premiere,"('and', 'adobe premiere')",2.532205754475374
2249,adobe premiere,"('adobe premiere', 'is')",2.0197851152367896
2250,adobe premiere,"('adobe premiere', ""'s"")",1.9138551347506285
2251,adobe premiere,"('to', 'adobe premiere')",1.8018223146514163
2252,adobe premiere,"('adobe premiere', 'and')",1.58107972069827
2268,adobe premiere elements,"('adobe premiere elements', 'and')",2.0292606011706216
2269,adobe premiere elements,"('used', 'adobe premiere elements')",1.9626583175932983
2270,adobe premiere elements,"('than', 'adobe premiere elements')",1.9556514885986265
2271,adobe premiere elements,"('adobe premiere elements', '12')",1.7284721892633579
2272,adobe premiere elements,"('and', 'adobe premiere elements')",1.4853265140007317
2301,adobe premiere pro,"('adobe premiere pro', 'and')",2.0112517642985415
2302,adobe premiere pro,"('than', 'adobe premiere pro')",1.9783414246644455
2303,adobe premiere pro,"('for', 'adobe premiere pro')",1.5957446647654718
2304,adobe premiere pro,"('adobe premiere pro', 'cc')",1.4140623325733395
2305,adobe premiere pro,"('as', 'adobe premiere pro')",1.3344689256559406
2318,adobe pro,"('adobe pro', 'at')",0.997319950582427
2319,adobe pro,"('use', 'adobe pro')",0.9966176225196225
2320,adobe products,"('use', 'adobe products')",2.171024234143268
2321,adobe products,"('to', 'adobe products')",1.7025661631432165
2322,adobe products,"('of', 'adobe products')",1.679875500305922
2323,adobe products,"('or', 'adobe products')",1.632549659465408
2324,adobe products,"('adobe products', 'are')",1.6204718226842794
2355,adobe program,"('old', 'adobe program')",1.4109563051475948
2356,adobe program,"('an', 'adobe program')",1.3988113889210874
2357,adobe program,"('the', 'adobe program')",1.229036550259827
2358,adobe program,"('larger', 'adobe program')",0.999638064065794
2359,adobe program,"('adobe program', 'without')",0.994017089330019
2361,adobe software,"('get', 'adobe software')",1.976310431353993
2362,adobe software,"('with', 'adobe software')",1.2815456971605996
2363,adobe software,"('adobe software', 'for')",1.2393237773527097
2364,adobe software,"('for', 'adobe software')",1.2393237773527097
2365,adobe software,"('adobe software', 'is')",1.199258959523748
2382,adobes photoshop elements,"('adobes photoshop elements', '13.')",0.999993732711096
2383,adobes photoshop elements,"('using', 'adobes photoshop elements')",0.998195804206761
2384,advanced program,"('turn', 'advanced program')",0.9994418195819875
2385,advanced program,"('advanced program', 'control')",0.999344284898419
2386,advanced program,"('more', 'advanced program')",0.9912912103623355
2387,advanced program,"('an', 'advanced program')",0.990664873177492
2388,advanced program,"('advanced program', 'and')",0.9281850949768463
2389,advanced system care program,"('the', 'advanced system care program')",0.9625885940042413
2390,advantage,"('advantage', 'of')",13.00307951876668
2391,advantage,"('take', 'advantage')",9.931871435118753
2392,advantage,"('taking', 'advantage')",4.2351403168674375
2393,advantage,"('full', 'advantage')",4.094099921461129
2394,advantage,"('advantage', 'over')",2.907064723075923
2453,adventure nancy,"('this', 'adventure nancy')",0.991566579368555
2454,adventure nancy,"('adventure nancy', 'is')",0.986182194788906
2455,aero,"('aero', 'snap')",4.241491783805393
2456,aero,"('the', 'aero')",3.9673177905276606
2457,aero,"('aero', 'effects')",3.596008375237579
2458,aero,"('aero', 'effect')",3.3131955322217674
2459,aero,"('``', 'aero')",3.058277446587477
2518,afterpro,"('afterpro', '3')",0.9994731560265075
2519,afterpro,"('using', 'afterpro')",0.998195804206761
2520,aftershot pro,"('aftershot pro', ""''"")",3.769167273765522
2521,aftershot pro,"('aftershot pro', '3')",3.5922543347398146
2522,aftershot pro,"('``', 'aftershot pro')",3.39328662975949
2523,aftershot pro,"('aftershot pro', 'is')",3.101115648238064
2524,aftershot pro,"('new', 'aftershot pro')",2.3820989942355943
2571,age,"('and', 'age')",4.838401391082981
2572,age,"('age', 'of')",2.9354191075348215
2573,age,"('the', 'age')",2.329296249279085
2574,age,"('age', 'and')",2.231173113898864
2575,age,"('of', 'age')",2.1809259349650527
2647,album,"('an', 'album')",2.960585020082744
2648,album,"('album', '7')",2.2197258037673326
2649,album,"('album', 'etc')",1.9913147126957256
2650,album,"('album', 'art')",1.4112454698196546
2651,album,"('album', 'or')",1.3065202183773423
2682,albumen,"('like', 'albumen')",0.9972318168322145
2683,alexa,"('like', 'alexa')",0.9972318168322145
2684,alexa,"('alexa', 'it')",0.9820250237177715
2685,alien skin,"('like', 'alien skin')",0.9972318168322145
2686,alien skin,"('alien skin', ""'s"")",0.9950774362714645
2687,amazon,"('on', 'amazon')",12.248147524393998
2688,amazon,"('from', 'amazon')",11.368789568044646
2689,amazon,"('at', 'amazon')",6.522416658260894
2690,amazon,"('amazon', ""'s"")",5.596678952325587
2691,amazon,"('amazon', 'gift')",4.890759791089588
3016,amazon cloud drive desktop software,"('but', 'amazon cloud drive desktop software')",0.9941440019303249
3017,amazon cloud drive desktop software,"('amazon cloud drive desktop software', 'is')",0.986182194788906
3018,amazon cloud player,"('the', 'amazon cloud player')",1.6240533809568094
3019,amazon cloud player,"('reinstall', 'amazon cloud player')",0.99956128977672
3020,amazon cloud player,"('amazon cloud player', 'allows')",0.9985271871075599
3021,amazon cloud player,"('amazon cloud player', 'has')",0.9860063189940375
3022,amazon cloud player,"('amazon cloud player', 'for')",0.9437882941144673
3023,amazon music,"('the', 'amazon music')",1.4080585277326731
3024,amazon music,"('amazon music', 'with')",1.323758199728212
3025,amazon music,"('for', 'amazon music')",1.2949705271319234
3026,amazon music,"('amazon music', 'importer')",0.99997649766661
3027,amazon music,"('amazon music', 'subscriptions')",0.9998061057495325
3041,amazon package,"('the', 'amazon package')",1.9251771880084827
3042,amazon package,"('amazon package', 'arrives')",1.4141914041606767
3043,amazon package,"('amazon package', 'in')",1.3886252586723635
3044,amazon software,"('amazon software', 'library')",1.4139310451647609
3045,amazon software,"('amazon software', 'description')",0.99988248833305
3046,amazon software,"('amazon software', 'though')",0.997656033949904
3047,amazon software,"('my', 'amazon software')",0.9730866946239979
3048,amazon software,"('with', 'amazon software')",0.9658871464955279
3051,amazon vine program,"('the', 'amazon vine program')",4.708065203796132
3052,amazon vine program,"('amazon vine program', 'and')",1.9684296284506848
3053,amazon vine program,"('amazon vine program', 'so')",1.3485421603181564
3054,amazon vine program,"('amazon vine program', 'i')",0.9740752948891165
3055,amazon vine program,"('from', 'amazon vine program')",0.9185350368869123
3059,amazon vine review program,"('the', 'amazon vine review program')",1.361305844626447
3060,amazon vine reviewer program,"('the', 'amazon vine reviewer program')",1.361305844626447
3061,amazon vine reviewer program,"('amazon vine reviewer program', 'and')",0.9521233966512308
3062,amazon vines program,"('the', 'amazon vines program')",1.6672523516016367
3063,amazons vine program,"('on', 'amazons vine program')",0.9931866735502389
3064,ancestry,"('to', 'ancestry')",2.5554270383195545
3065,ancestry,"('the', 'ancestry')",2.481325032967935
3066,ancestry,"('ancestry', ""'s"")",2.2666135741376405
3067,ancestry,"('ancestry', 'is')",2.170491119771857
3068,ancestry,"('with', 'ancestry')",2.132661546415656
3138,ancestry.com,"('to', 'ancestry.com')",5.984461161085413
3139,ancestry.com,"('with', 'ancestry.com')",3.8908698323891846
3140,ancestry.com,"('of', 'ancestry.com')",3.2002036568898187
3141,ancestry.com,"('on', 'ancestry.com')",3.1199049774012013
3142,ancestry.com,"('ancestry.com', 'is')",2.9348865900393517
3232,angry birds space,"('like', 'angry birds space')",0.9972318168322145
3233,anime software,"('fantastic', 'anime software')",0.999899723377536
3234,anime software,"('anime software', 'program')",0.995923128567948
3235,anime software,"('anime software', 'are')",0.991011140889438
3236,anime software,"('with', 'anime software')",0.9829435732477639
3237,anime studio,"('anime studio', 'pro')",3.995233726788508
3238,anime studio,"('with', 'anime studio')",1.7953228789731674
3239,anime studio,"('that', 'anime studio')",1.7335963505576713
3240,anime studio,"('anime studio', '6')",1.727361334036063
3241,anime studio,"('anime studio', 'has')",1.6544899548097134
3276,anime studio debut,"('anime studio debut', '6')",1.730292254994072
3277,anime studio debut,"('anime studio debut', '8')",1.7261482584173315
3278,anime studio debut,"('anime studio debut', 'fits')",1.4138645705275057
3279,anime studio debut,"('anime studio debut', 'is')",1.2383416145872657
3280,anime studio debut,"('selected', 'anime studio debut')",0.999069307597756
3297,anime studio software,"('with', 'anime studio software')",0.991471786623882
3298,annoyance,"('an', 'annoyance')",3.8111184820894235
3299,annoyance,"('minor', 'annoyance')",3.1595593731103935
3300,annoyance,"('annoyance', 'is')",2.995825463175484
3301,annoyance,"('another', 'annoyance')",2.2130969668479423
3302,annoyance,"('the', 'annoyance')",2.0397739127755288
3350,answer,"('the', 'answer')",7.230401582528396
3351,answer,"('to', 'answer')",6.293941398388732
3352,answer,"('an', 'answer')",5.306790257123022
3353,answer,"('answer', 'is')",4.398381066883136
3354,answer,"('answer', 'to')",3.7186258954704337
3470,antenna,"('this', 'antenna')",5.780656497856577
3471,antenna,"('the', 'antenna')",3.6774187090661643
3472,antenna,"('antenna', 'that')",2.828810912769269
3473,antenna,"('antenna', 'and')",2.4431318723992415
3474,antenna,"('removable', 'antenna')",2.235685217829885
3487,anti,"('anti', 'virus')",5.996857933878535
3488,anti,"('anti', 'spyware')",2.4465633326175227
3489,anti,"('an', 'anti')",1.9050928773045017
3490,anti,"('anti', 'spam')",1.7296918232700353
3491,anti,"('best', 'anti')",1.7096473543447877
3528,anti malware software,"('anti malware software', 'running')",0.9992937548816305
3529,anti malware software,"('or', 'anti malware software')",0.995992068745892
3530,anti virus program,"('anti virus program', 'screw')",0.999901290199762
3531,anti virus program,"('anti virus program', 'tend')",0.999668617099201
3532,anti virus program,"('solid', 'anti virus program')",0.99922442299813
3533,anti virus program,"('previous', 'anti virus program')",0.9972972316601499
3534,anti virus program,"('only', 'anti virus program')",0.990201877209709
3540,anti virus software,"('other', 'anti virus software')",1.3957635268029407
3541,anti virus software,"('anti virus software', 'i')",1.1853416632814262
3542,anti virus software,"('anti virus software', 'lately')",0.9997504835605096
3543,anti virus software,"('worst', 'anti virus software')",0.9991597915813075
3544,anti virus software,"('different', 'anti virus software')",0.991760865324579
3558,antispam,"('the', 'antispam')",3.381707108961752
3559,antispam,"('antispam', 'and')",2.7127403799073853
3560,antispam,"('antispam', 'feature')",1.98780228897059
3561,antispam,"('antispam', 'is')",1.7512795062003073
3562,antispam,"('antispam', 'component')",1.7314320575888533
3581,antispyware program,"('their', 'antispyware program')",0.998720689652471
3582,antivirii software,"('antivirii software', 'deserves')",0.9999886405388615
3583,antivirii software,"('any', 'antivirii software')",0.998484882907458
3584,antivirus,"('antivirus', 'programs')",6.414322281809751
3585,antivirus,"('the', 'antivirus')",4.9307203764800125
3586,antivirus,"('antivirus', 'and')",4.921973919006848
3587,antivirus,"('other', 'antivirus')",4.830600821484893
3588,antivirus,"('free', 'antivirus')",4.501847987748333
3824,antivirus package,"('capable', 'antivirus package')",0.999724239288224
3825,antivirus package,"('free', 'antivirus package')",0.996493451858212
3826,antivirus package,"(""'s"", 'antivirus package')",0.980309745085858
3827,antivirus plus program,"('its', 'antivirus plus program')",0.999050505731044
3828,antivirus program,"('an', 'antivirus program')",3.1022531253902126
3829,antivirus program,"('antivirus program', 'provided')",2.232840884301169
3830,antivirus program,"('free', 'antivirus program')",2.2121532934649784
3831,antivirus program,"('antivirus program', 'that')",2.173061038535342
3832,antivirus program,"('best', 'antivirus program')",1.7096473543447877
3883,antivirus software,"('other', 'antivirus software')",2.5714073136582574
3884,antivirus software,"('buying', 'antivirus software')",2.2268663299296483
3885,antivirus software,"('free', 'antivirus software')",2.197647665443863
3886,antivirus software,"('antivirus software', 'is')",2.1339326435185697
3887,antivirus software,"('of', 'antivirus software')",2.0942360828425888
3958,ap,"('ap', 'rocks')",2.2360140232762973
3959,ap,"('this', 'ap')",2.194581033507317
3960,ap,"('ap', 'divs')",0.9999956912388785
3961,ap,"('apt', 'ap')",0.9999956912388785
3962,ap,"('whereas', 'ap')",0.9997371655715885
3970,apache openoffice program,"('apache openoffice program', 'to')",0.9722570622553309
3971,apache openoffice program,"('the', 'apache openoffice program')",0.9625885940042413
3972,aperture,"('aperture', 'setting')",1.7310792615476114
3973,aperture,"('large', 'aperture')",1.4124985167319133
3974,aperture,"('like', 'aperture')",1.3907247492990038
3975,aperture,"('aperture', 'or')",1.3802051379533835
3976,aperture,"('for', 'aperture')",1.3188191341801576
3983,app,"('the', 'app')",9.56671052603289
3984,app,"('this', 'app')",7.494960518970217
3985,app,"('app', 'is')",5.9688913035532
3986,app,"('an', 'app')",5.416305173485134
3987,app,"('mobile', 'app')",5.373131195132436
4250,apple,"('apple', ""'s"")",9.832163960494498
4251,apple,"('an', 'apple')",6.326922204717784
4252,apple,"('apple', 'has')",5.867942231524279
4253,apple,"('with', 'apple')",4.006863792329191
4254,apple,"('the', 'apple')",3.924439647104446
4577,apple iwork,"('like', 'apple iwork')",0.9972318168322145
4578,apple iwork,"('apple iwork', 'and')",0.9760616983256154
4579,apple quicktime player,"('free', 'apple quicktime player')",0.999123362964553
4580,apple quicktime player,"('apple quicktime player', 'does')",0.997925527372776
4581,apple software,"('written', 'apple software')",1.4138005886891476
4582,apple software,"('via', 'apple software')",1.4134399637820385
4583,apple software,"('apple software', 'update')",1.4104696554073564
4584,apple software,"('apple software', 'gem')",0.9999588709165675
4585,apple software,"('regular', 'apple software')",0.999347418542871
4589,apples mountain lion,"('installed', 'apples mountain lion')",0.9991382477757
4590,appleworks,"('using', 'appleworks')",1.4065590078931696
4591,appleworks,"('in', 'appleworks')",1.3758311068219977
4592,appleworks,"('appleworks', 'it')",1.337952196648108
4593,appleworks,"('appleworks', 'spreadsheet')",0.999685068732574
4594,appleworks,"('hate', 'appleworks')",0.999478248198742
4597,application,"('the', 'application')",10.826156115709855
4598,application,"('an', 'application')",7.1627178634907205
4599,application,"('this', 'application')",7.048231800266122
4600,application,"('application', 'that')",6.416270870174119
4601,application,"('application', 'is')",5.211553001725079
4957,arconis,"('arconis', 'true image')",1.7320048988532541
4958,arconis,"('arconis', 'copies')",0.999594193043466
4959,arconis,"('trust', 'arconis')",0.999330966909498
4960,arconis,"('liked', 'arconis')",0.9990540310810525
4961,arconis,"('her', 'arconis')",0.998535804629803
4967,arcsoft mediaimpressions software,"('wonderful', 'arcsoft mediaimpressions software')",0.9999244008275955
4968,arcsoft mediaimpressions software,"('arcsoft mediaimpressions software', 'on')",0.9931866735502389
4969,arcsoft software,"('older', 'arcsoft software')",0.999656865932506
4970,arcsoft software,"('arcsoft software', 'i')",0.9751020197121905
4971,area,"('area', 'of')",6.046763924782896
4972,area,"('an', 'area')",5.30792649257588
4973,area,"('this', 'area')",4.271801574396863
4974,area,"('the', 'area')",3.565416874641894
4975,area,"('area', 'where')",3.2619671209554686
5127,array,"('array', 'of')",7.374870758149279
5128,array,"('the', 'array')",6.839620499271864
5129,array,"('this', 'array')",4.1741842663263675
5130,array,"('wide', 'array')",3.314422865550212
5131,array,"('an', 'array')",3.168386733978994
5171,asp,"('asp', '3')",1.7280965519399587
5172,asp,"('the', 'asp')",1.4512574983775004
5173,asp,"('asp', 'without')",1.4063568142048521
5174,asp,"('and', 'asp')",1.194163401600489
5175,asp,"('asp', 'intranet')",0.999979631311062
