,item_group,bigram,pmi
1577,activex,"('third-party', 'activex')",12.469945879354453
1578,activex,"('activex', 'trojan')",12.376836474962971
1579,activex,"('malicious', 'activex')",11.621948972799503
1585,adaware,"('lavasoft', 'adaware')",14.891409647792731
1586,adaware,"('adaware', 'missed')",10.421089713012696
1587,adaware,"('uninstall', 'adaware')",9.012847775242706
1588,adaware,"('adaware', '2007')",7.946941594367736
1589,adaware,"('adaware', 'until')",7.728179298924427
1603,add effect,"('like', 'add effect')",8.496844876906792
1604,adjust,"('color-contrast-brightness', 'adjust')",13.549017450345652
1605,adjust,"('succinctly', 'adjust')",13.549017450345652
1606,adjust,"('adjust', 'colors/saturation')",13.549017450345652
1607,adjust,"('adjust', 'vertical')",11.285983044511854
1608,adjust,"('adjust', 'channels')",9.741662528288048
1693,adobe,"('adobe', 'lightshop')",12.303587492932333
1694,adobe,"('free-download', 'adobe')",12.303587492932333
1695,adobe,"('adobe', 'encore')",12.303587492932333
1696,adobe,"('adobe', 'firepower')",12.303587492932333
1697,adobe,"('adobe', 'primere')",12.303587492932333
1951,adobe acrobat,"('adobe acrobat', '6.0.')",14.413362350988082
1952,adobe acrobat,"('hungry', 'adobe acrobat')",13.998324851709238
1953,adobe acrobat,"('adobe acrobat', '9.3')",13.67639675682188
1954,adobe acrobat,"('adobe acrobat', '8.0')",12.676396756821877
1955,adobe acrobat,"('high-end', 'adobe acrobat')",10.413362350988086
1991,adobe bridge,"('using', 'adobe bridge')",6.792500279891279
1992,adobe bridge,"('or', 'adobe bridge')",6.640998426802486
1993,adobe bridge,"('as', 'adobe bridge')",4.218858025017539
1994,adobe bridge,"('in', 'adobe bridge')",3.4664435834481466
1995,adobe bridge,"('of', 'adobe bridge')",2.7476316615905994
1998,adobe creative cloud,"('adobe creative cloud', 'subscriber')",15.791873974241817
1999,adobe creative cloud,"('adobe creative cloud', 'route')",10.8753973298041
2000,adobe creative cloud,"('adobe creative cloud', 'plan')",10.77841171443525
2001,adobe creative cloud,"('adobe creative cloud', '...')",6.518544587680143
2002,adobe creative cloud,"('like', 'adobe creative cloud')",5.32691987546448
2010,adobe creative suite,"('adobe creative suite', 'cs2')",15.961798975684129
2011,adobe creative suite,"('adobe creative suite', 'applications')",8.758206261476422
2012,adobe creative suite,"('adobe creative suite', '4')",8.41490451579649
2013,adobe creative suite,"('an', 'adobe creative suite')",6.328077163043114
2014,adobe creative suite,"('using', 'adobe creative suite')",6.114428374778646
2022,adobe design premium,"('use', 'adobe design premium')",8.207746608155203
2023,adobe design premium,"('adobe design premium', 'for')",6.474913686876917
2024,adobe elements,"('adobe elements', '13')",9.160899075763824
2025,adobe elements,"('adobe elements', 'provides')",9.12259518758718
2026,adobe elements,"('adobe elements', 'comes')",6.9078730941530235
2027,adobe elements,"('than', 'adobe elements')",6.59930716963806
2028,adobe elements,"('both', 'adobe elements')",6.247553458018004
2039,adobe flash,"('adobe flash', 'professional')",9.663507245064004
2040,adobe flash,"('used', 'adobe flash')",8.16933401570418
2041,adobe flash,"('adobe flash', 'and')",4.384535387236657
2042,adobe flash,"('of', 'adobe flash')",4.069559756477961
2043,adobe flash player,"('adobe flash player', '11.8')",18.69876456985033
2044,adobe flash player,"('adobe flash player', '16')",12.43197802915543
2045,adobe flash player,"('adobe flash player', 'installer')",12.113802069129177
2046,adobe flash player,"('require', 'adobe flash player')",10.49419342560113
2047,adobe flash player,"('adobe flash player', '10')",8.424968970636069
2050,adobe illustrator,"('adobe illustrator', 'loads')",12.075492712231698
2051,adobe illustrator,"('native', 'adobe illustrator')",9.182407916148213
2052,adobe illustrator,"('adobe illustrator', 'style')",9.148659124793673
2053,adobe illustrator,"('fast', 'adobe illustrator')",8.846885421112104
2054,adobe illustrator,"('experienced', 'adobe illustrator')",8.623285420362318
2072,adobe lightroom,"('adobe lightroom', 'knockoff')",16.583287352430396
2073,adobe lightroom,"('copied', 'adobe lightroom')",10.60600742893048
2074,adobe lightroom,"('adobe lightroom', '6')",7.82839985026693
2075,adobe lightroom,"('choose', 'adobe lightroom')",7.603147774791241
2076,adobe lightroom,"('adobe lightroom', '4')",6.714464797655399
2101,adobe package,"('adobe package', 'other')",7.9606723102298425
2102,adobe package,"('my', 'adobe package')",6.215536602337012
2103,adobe package,"('this', 'adobe package')",5.889666371516894
2104,adobe photoelements program,"('wonderful', 'adobe photoelements program')",13.691270033303411
2105,adobe photoelements program,"('adobe photoelements program', 'that')",6.493276749699769
2106,adobe photoshop,"('adobe photoshop', 'leap-frogged')",14.639870880796765
2107,adobe photoshop,"('adobe photoshop', '.abr')",14.639870880796765
2108,adobe photoshop,"('accelerates', 'adobe photoshop')",13.05490838007561
2109,adobe photoshop,"('adobe photoshop', 'cs6')",12.524393663376827
2110,adobe photoshop,"('resembles', 'adobe photoshop')",11.832515958739162
2171,adobe photoshop elements,"('adobe photoshop elements', '11.')",11.576367938490604
2172,adobe photoshop elements,"('adobe photoshop elements', '11')",10.058760705571212
2173,adobe photoshop elements,"('adobe photoshop elements', '6.')",9.614842086305243
2174,adobe photoshop elements,"('adobe photoshop elements', '10.')",9.096374997370996
2175,adobe photoshop elements,"('adobe photoshop elements', 'requires')",8.344515187905088
2203,adobe photoshop lightroom,"('against', 'adobe photoshop lightroom')",12.15444405362652
2204,adobe photoshop lightroom,"('adobe photoshop lightroom', '3')",7.890336613127504
2205,adobe photoshop lightroom,"('adobe photoshop lightroom', 'or')",5.962926521689848
2206,adobe photoshop lightroom,"('as', 'adobe photoshop lightroom')",5.540786119904901
2207,adobe photoshop lightroom,"('``', 'adobe photoshop lightroom')",5.535114893834509
2210,adobe premier,"('//www.amazon.com/review/r2lxhyrsl0j4lg/ref=cm_cr_rdp_perm', 'adobe premier')",18.28372707057149
2211,adobe premier,"('adobe premier', 'element')",13.583287352430398
2212,adobe premier,"('cluttered', 'adobe premier')",12.40108402120965
2213,adobe premier,"('used', 'adobe premier')",6.169334015704184
2214,adobe premier,"('using', 'adobe premier')",6.114428374778646
2221,adobe premier elements,"('latest', 'adobe premier elements')",8.133662491490021
2222,adobe premier elements,"('adobe premier elements', 'next')",7.647215731409933
2223,adobe premier elements,"('trying', 'adobe premier elements')",7.503392362447595
2224,adobe premier elements,"('over', 'adobe premier elements')",7.00723912868429
2225,adobe premier elements,"('adobe premier elements', 'again')",6.7474798548833625
2236,adobe premier pro,"('adobe premier pro', 'cs5')",13.123855733793102
2237,adobe premier pro,"('run', 'adobe premier pro')",7.005713274453337
2238,adobe premier pro,"('used', 'adobe premier pro')",6.709902397066884
2239,adobe premier pro,"('while', 'adobe premier pro')",6.708601499737181
2240,adobe premier pro,"('even', 'adobe premier pro')",5.957016712224529
2248,adobe premiere,"('particularly', 'adobe premiere')",8.308954002682148
2249,adobe premiere,"('expensive', 'adobe premiere')",7.040701887577335
2250,adobe premiere,"('around', 'adobe premiere')",6.00469693412184
2251,adobe premiere,"('adobe premiere', '...')",4.559186572177488
2252,adobe premiere,"('adobe premiere', ""'s"")",4.537091384038838
2268,adobe premiere elements,"('stalwart', 'adobe premiere elements')",13.535534220982031
2269,adobe premiere elements,"('adobe premiere elements', '12')",8.918862860533533
2270,adobe premiere elements,"('adobe premiere elements', '11')",8.769999474619048
2271,adobe premiere elements,"('adobe premiere elements', 'fan')",7.956595507888643
2272,adobe premiere elements,"('against', 'adobe premiere elements')",7.728179298924427
2301,adobe premiere pro,"('adobe premiere pro', 'cs6')",13.190969929651638
2302,adobe premiere pro,"('adobe premiere pro', 'cc')",13.190969929651635
2303,adobe premiere pro,"('replace', 'adobe premiere pro')",9.672241127330567
2304,adobe premiere pro,"('adobe premiere pro', 'via')",8.251164711570382
2305,adobe premiere pro,"('than', 'adobe premiere pro')",6.528917841746665
2318,adobe pro,"('adobe pro', 'at')",8.543524681803591
2319,adobe pro,"('use', 'adobe pro')",8.207746608155203
2320,adobe products,"('dominant', 'adobe products')",13.050107393811789
2321,adobe products,"('adobe products', 'outside')",8.938599078594798
2322,adobe products,"('related', 'adobe products')",8.600074473176742
2323,adobe products,"('avoid', 'adobe products')",8.170961788686174
2324,adobe products,"('mostly', 'adobe products')",7.791373125411619
2355,adobe program,"('larger', 'adobe program')",11.431978029155433
2356,adobe program,"('old', 'adobe program')",8.76212663084776
2357,adobe program,"('adobe program', 'without')",7.384936762190279
2358,adobe program,"('an', 'adobe program')",6.520722240985508
2359,adobe program,"('adobe program', 'can')",5.123638999016027
2361,adobe software,"('rent', 'adobe software')",12.50236735704683
2362,adobe software,"('corresponding', 'adobe software')",12.016940529876589
2363,adobe software,"('adobe software', 'beats')",10.847015528434277
2364,adobe software,"('premium', 'adobe software')",8.436278166589059
2365,adobe software,"('buying', 'adobe software')",7.758206261476422
2382,adobes photoshop elements,"('adobes photoshop elements', '13.')",17.28372707057149
2383,adobes photoshop elements,"('using', 'adobes photoshop elements')",9.114428374778646
2384,advanced program,"('turn', 'advanced program')",10.806980866632024
2385,advanced program,"('advanced program', 'control')",10.574643258021146
2386,advanced program,"('more', 'advanced program')",6.843312060106287
2387,advanced program,"('an', 'advanced program')",6.743114662321959
2388,advanced program,"('advanced program', 'and')",3.799572886515506
2389,advanced system care program,"('the', 'advanced system care program')",4.740378003490587
2390,advantage,"('multimate', 'advantage')",10.752833089377566
2391,advantage,"('genuine', 'advantage')",10.124801866764523
2392,advantage,"('taking', 'advantage')",9.1437849701321
2393,advantage,"('advantage', 'flagged')",9.124801866764527
2394,advantage,"('take', 'advantage')",9.11030229706941
2453,adventure nancy,"('this', 'adventure nancy')",6.889666371516894
2454,adventure nancy,"('adventure nancy', 'is')",6.177327710266347
2455,aero,"('translucent', 'aero')",13.768027232287444
2456,aero,"('sexy', 'aero')",13.183064731566288
2457,aero,"('aero', 'shake')",12.879058544676193
2458,aero,"('aero', 'peek')",12.768027232287444
2459,aero,"('aero', 'snap')",11.850489392479421
2518,afterpro,"('afterpro', '3')",10.890336613127504
2519,afterpro,"('using', 'afterpro')",9.114428374778646
2520,aftershot pro,"('aftershot pro', 'catalog')",11.454004335485427
2521,aftershot pro,"('squeeze', 'aftershot pro')",11.316500811735498
2522,aftershot pro,"('aftershot pro', 'combines')",10.528004916929207
2523,aftershot pro,"('aftershot pro', '3.')",8.7242703105503
2524,aftershot pro,"('showed', 'aftershot pro')",8.366541494235092
2571,age,"('age', '43')",13.34121256523225
2572,age,"('his/her', 'age')",11.88178094659495
2573,age,"('grandchildren', 'age')",11.171287563789939
2574,age,"('stone', 'age')",11.019284470344886
2575,age,"('age', 'plants')",10.881780946594954
2647,album,"('sinatra', 'album')",16.035799557127906
2648,album,"('unified', 'album')",13.450837056406748
2649,album,"('album', 'tags')",10.948336715877565
2650,album,"('unknown', 'album')",10.865874555685593
2651,album,"('displays', 'album')",9.769013016433004
2682,albumen,"('like', 'albumen')",8.496844876906792
2683,alexa,"('like', 'alexa')",8.496844876906792
2684,alexa,"('alexa', 'it')",5.797866322728169
2685,alien skin,"('like', 'alien skin')",8.496844876906792
2686,alien skin,"('alien skin', ""'s"")",7.666374400983811
2687,amazon,"('-see', 'amazon')",11.248928107994223
2688,amazon,"('amazon', 'misguidedly')",11.248928107994223
2689,amazon,"('badmouthed', 'amazon')",11.248928107994223
2690,amazon,"('amazon', ""'fulfills"")",11.248928107994223
2691,amazon,"('amazon', 'goldbox')",11.248928107994223
3016,amazon cloud drive desktop software,"('but', 'amazon cloud drive desktop software')",7.415869206598661
3017,amazon cloud drive desktop software,"('amazon cloud drive desktop software', 'is')",6.177327710266347
3018,amazon cloud player,"('reinstall', 'amazon cloud player')",11.154444053626523
3019,amazon cloud player,"('amazon cloud player', 'allows')",9.40721012400649
3020,amazon cloud player,"('amazon cloud player', 'has')",6.159080679700949
3021,amazon cloud player,"('amazon cloud player', 'for')",4.152985591989555
3022,amazon cloud player,"('the', 'amazon cloud player')",4.00341240932438
3023,amazon music,"('amazon music', 'importer')",15.376836474962971
3024,amazon music,"('amazon music', 'subscriptions')",12.332442355604519
3025,amazon music,"('toward', 'amazon music')",10.96744553882527
3026,amazon music,"('amazon music', 'selection')",10.257895402239464
3027,amazon music,"('amazon music', 'player')",10.073055726785869
3041,amazon package,"('amazon package', 'arrives')",15.961798975684125
3042,amazon package,"('amazon package', 'in')",5.788371678335505
3043,amazon package,"('the', 'amazon package')",4.740378003490584
3044,amazon software,"('amazon software', 'description')",13.05490838007561
3045,amazon software,"('amazon software', 'library')",12.289373633712628
3046,amazon software,"('amazon software', 'though')",8.736832610683853
3047,amazon software,"('my', 'amazon software')",5.215536602337011
3048,amazon software,"('with', 'amazon software')",4.873540749846395
3051,amazon vine program,"('the', 'amazon vine program')",4.681484314437018
3052,amazon vine program,"('amazon vine program', 'so')",4.4285909333147515
3053,amazon vine program,"('from', 'amazon vine program')",3.617676479036131
3054,amazon vine program,"('amazon vine program', 'and')",3.062607292349295
3055,amazon vine program,"('amazon vine program', 'was')",3.020224030808503
3059,amazon vine review program,"('the', 'amazon vine review program')",4.740378003490584
3060,amazon vine reviewer program,"('the', 'amazon vine reviewer program')",4.740378003490584
3061,amazon vine reviewer program,"('amazon vine reviewer program', 'and')",4.38453538723666
3062,amazon vines program,"('the', 'amazon vines program')",4.740378003490587
3063,amazons vine program,"('on', 'amazons vine program')",7.197424951788939
3064,ancestry,"('ancestry', '.com')",13.775932430372794
3065,ancestry,"('dna', 'ancestry')",13.190969929651638
3066,ancestry,"('ancestry', 'valued')",12.775932430372794
3067,ancestry,"('ancestry', 'dot')",10.917951435245218
3068,ancestry,"('ancestry', 'genealogy')",9.646649413427825
3138,ancestry.com,"('ancestry.com', 'consolidates')",13.832515958739162
3139,ancestry.com,"('joining', 'ancestry.com')",11.247553458018002
3140,ancestry.com,"('ancestry.com', 'membership')",10.68276883923448
3141,ancestry.com,"('involving', 'ancestry.com')",9.832515958739162
3142,ancestry.com,"('longtime', 'ancestry.com')",9.132076240598069
3232,angry birds space,"('like', 'angry birds space')",8.496844876906792
3233,anime software,"('fantastic', 'anime software')",13.28372707057149
3234,anime software,"('anime software', 'program')",7.938321823853693
3235,anime software,"('anime software', 'are')",6.79764626791952
3236,anime software,"('with', 'anime software')",5.873540749846395
3237,anime studio,"('anime studio', 'waned')",15.698764569850333
3238,anime studio,"('anime studio', 'preserves')",12.376836474962971
3239,anime studio,"('anime studio', 'delivers')",10.528839568408022
3240,anime studio,"('anime studio', 'packaging')",9.816121520488492
3241,anime studio,"('anime studio', 'pro')",9.712922632846993
3276,anime studio debut,"('anime studio debut', 'fits')",11.984519052184208
3277,anime studio debut,"('selected', 'anime studio debut')",10.069407949770724
3278,anime studio debut,"('anime studio debut', '6')",9.943877067686865
3279,anime studio debut,"('anime studio debut', 'mostly')",9.047712878671407
3280,anime studio debut,"('credit', 'anime studio debut')",8.480806871986221
3297,anime studio software,"('with', 'anime studio software')",6.873540749846395
3298,annoyance,"('system-slowing', 'annoyance')",15.016940529876585
3299,annoyance,"('-another', 'annoyance')",14.016940529876589
3300,annoyance,"('mild', 'annoyance')",11.624623107097825
3301,annoyance,"('annoyance', 'opportunities')",11.316500811735498
3302,annoyance,"('annoyance', 'factor')",10.52508743354691
3350,answer,"('answer', '5901')",13.05490838007561
3351,answer,"('cheerfully', 'answer')",13.05490838007561
3352,answer,"('fill-in', 'answer')",11.469945879354453
3353,answer,"('unattended', 'answer')",11.469945879354453
3354,answer,"('faq', 'answer')",10.817869182774762
3470,antenna,"('removable', 'antenna')",12.512237601070888
3471,antenna,"('antenna', 'cable')",9.576367938490604
3472,antenna,"('correct', 'antenna')",8.713871462240537
3473,antenna,"('original', 'antenna')",8.485052771744657
3474,antenna,"('large', 'antenna')",8.024572301704646
3487,anti,"('anti', 'spam/antiphishing')",15.352989733008604
3488,anti,"('anti', 'spam/phishing')",15.352989733008604
3489,anti,"(""'super"", 'anti')",13.352989733008604
3490,anti,"('anti', 'viral')",12.545634810951
3491,anti,"('anti', 'virus/spyware')",12.183064731566292
3528,anti malware software,"('anti malware software', 'running')",10.467543389139149
3529,anti malware software,"('or', 'anti malware software')",7.962926521689852
3530,anti virus program,"('anti virus program', 'screw')",13.306447147071573
3531,anti virus program,"('anti virus program', 'tend')",11.559213217451541
3532,anti virus program,"('solid', 'anti virus program')",10.332442355604519
3533,anti virus program,"('previous', 'anti virus program')",8.531346424018597
3534,anti virus program,"('only', 'anti virus program')",6.673278913041944
3540,anti virus software,"('anti virus software', 'lately')",11.96857750831519
3541,anti virus software,"('worst', 'anti virus software')",10.216965138184582
3542,anti virus software,"('different', 'anti virus software')",6.923291460000421
3543,anti virus software,"('best', 'anti virus software')",6.917951435245222
3544,anti virus software,"('another', 'anti virus software')",6.849424632751855
3558,antispam,"('antispam', 'component')",11.450837056406748
3559,antispam,"('optional', 'antispam')",11.358914566965705
3560,antispam,"('disabled', 'antispam')",10.654370450491879
3561,antispam,"('antispam', 'solution')",7.708660605992833
3562,antispam,"('antispam', 'feature')",7.357245746605088
3581,antispyware program,"('their', 'antispyware program')",9.610417995009797
3582,antivirii software,"('antivirii software', 'deserves')",16.425746075443918
3583,antivirii software,"('any', 'antivirii software')",9.36635499109465
3584,antivirus,"(""'avast"", 'antivirus')",12.562627881864305
3585,antivirus,"('antivirus', 'shootout')",12.562627881864305
3586,antivirus,"('antiviruserror', 'antivirus')",12.562627881864305
3587,antivirus,"('antivirus', 'products-')",11.562627881864305
3588,antivirus,"('secureanywhere', 'antivirus')",11.562627881864305
3824,antivirus package,"('capable', 'antivirus package')",11.824295451934194
3825,antivirus package,"('free', 'antivirus package')",8.155732749595098
3826,antivirus package,"(""'s"", 'antivirus package')",5.666374400983811
3827,antivirus plus program,"('its', 'antivirus plus program')",10.040553087098539
3828,antivirus program,"('ksperskys', 'antivirus program')",15.352989733008604
3829,antivirus program,"('poorer', 'antivirus program')",14.352989733008604
3830,antivirus program,"('antivirus program', 'magically')",11.545634810951
3831,antivirus program,"('antivirus program', 'throws')",10.960672310229844
3832,antivirus program,"('third-party', 'antivirus program')",10.861136636678927
3883,antivirus software,"('antivirus software', 'speaks')",10.34708913156892
3884,antivirus software,"('famous', 'antivirus software')",10.209585607818985
3885,antivirus software,"('popular', 'antivirus software')",8.489108136441343
3886,antivirus software,"('antivirus software', 'packages')",8.427431239886522
3887,antivirus software,"('commercial', 'antivirus software')",8.177164130126608
3958,ap,"('ap', 'divs')",17.824295451934194
3959,ap,"('apt', 'ap')",17.824295451934194
3960,ap,"('ap', 'rocks')",15.338868624763949
3961,ap,"('whereas', 'ap')",11.893558114371306
3962,ap,"('ap', 'developers')",11.431978029155433
3970,apache openoffice program,"('apache openoffice program', 'to')",5.171735624706617
3971,apache openoffice program,"('the', 'apache openoffice program')",4.740378003490587
3972,aperture,"('aperture', 'libraries')",11.65437045049188
3973,aperture,"('aperture', 'setting')",10.799911293307233
3974,aperture,"('aperture', '2.0')",10.698764569850335
3975,aperture,"('large', 'aperture')",9.687537314427075
3976,aperture,"('camera', 'aperture')",9.372335082728032
3983,app,"('smart-phone/tablet', 'app')",12.040553087098539
3984,app,"('mac-native', 'app')",12.040553087098539
3985,app,"('1mobile', 'app')",12.040553087098539
3986,app,"('mobil', 'app')",12.040553087098539
3987,app,"('windows-related', 'app')",12.040553087098539
4250,apple,"('behoove', 'apple')",11.93278788902506
4251,apple,"('computer-illiterate', 'apple')",11.93278788902506
4252,apple,"('emorville', 'apple')",11.93278788902506
4253,apple,"('apple', 'reconsiders')",11.93278788902506
4254,apple,"('apple', 'computersplus')",11.93278788902506
4577,apple iwork,"('like', 'apple iwork')",8.496844876906792
4578,apple iwork,"('apple iwork', 'and')",5.384535387236662
4579,apple quicktime player,"('free', 'apple quicktime player')",10.155732749595096
4580,apple quicktime player,"('apple quicktime player', 'does')",8.913039663764271
4581,apple software,"('apple software', 'gem')",14.56948155290537
4582,apple software,"('written', 'apple software')",11.741662528288044
4583,apple software,"('via', 'apple software')",10.836127212291537
4584,apple software,"('regular', 'apple software')",10.581554385205944
4585,apple software,"('apple software', 'update')",8.561239699563233
4589,apples mountain lion,"('installed', 'apples mountain lion')",10.180439262159469
4590,appleworks,"('appleworks', 'spreadsheet')",11.63267537939256
4591,appleworks,"('hate', 'appleworks')",10.904348703500228
4592,appleworks,"('using', 'appleworks')",7.529465874057484
4593,appleworks,"('in', 'appleworks')",5.203409177614347
4594,appleworks,"(""'s"", 'appleworks')",5.081411900262655
4597,application,"('hypercard', 'application')",11.693140020656456
4598,application,"('ios-only', 'application')",11.693140020656456
4599,application,"('dtp', 'application')",11.693140020656456
4600,application,"('maintainance', 'application')",11.693140020656456
4601,application,"('*the*', 'application')",11.693140020656456
4957,arconis,"('arconis', 'true image')",15.203353654107469
4958,arconis,"('arconis', 'copies')",11.266918782884936
4959,arconis,"('trust', 'arconis')",10.545634810950999
4960,arconis,"('liked', 'arconis')",10.045919596848355
4961,arconis,"('her', 'arconis')",9.415676216826332
4967,arcsoft mediaimpressions software,"('wonderful', 'arcsoft mediaimpressions software')",13.691270033303411
4968,arcsoft mediaimpressions software,"('arcsoft mediaimpressions software', 'on')",7.197424951788939
4969,arcsoft software,"('older', 'arcsoft software')",11.508940010970317
4970,arcsoft software,"('arcsoft software', 'i')",5.327827473462984
4971,area,"('southeastern', 'area')",13.064558550109329
4972,area,"('recreation', 'area')",13.064558550109329
4973,area,"('rural', 'area')",12.412481853529638
4974,area,"('enclosing', 'area')",12.064558550109329
4975,area,"('boston', 'area')",12.064558550109329
5127,array,"('dizzying', 'array')",13.564908823115541
5128,array,"('array', 'empty')",10.747285565604109
5129,array,"('wide', 'array')",10.556734891669842
